kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_sma,koi_model_snr,koi_num_transits,koi_max_mult_ev,koi_max_sngle_ev,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smass,koi_count,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
K00752.01,CONFIRMED,9.48803557,2.9575,615.8,2.26,0.0853,35.8,142,28.47082,5.135849,793,93.59,5455,4.467,0.927,0.919,2,0,0,0,0
K00752.02,CONFIRMED,54.4183827,4.507,874.8,2.83,0.2734,25.8,25,20.109507,7.027669,443,9.11,5455,4.467,0.927,0.919,2,0,0,0,0
K00753.01,CANDIDATE,19.89913995,1.7822,10829,14.6,0.1419,76.3,56,187.4491,37.159767,638,39.3,5853,4.544,0.868,0.961,1,0,0,0,0
K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,33.46,0.0267,505.6,621,541.8951,39.06655,1395,891.96,5805,4.564,0.791,0.836,1,0,1,0,0
K00755.01,CONFIRMED,2.525591777,1.6545,603.3,2.75,0.0374,40.9,515,33.1919,4.749945,1406,926.16,6031,4.438,1.046,1.095,1,0,0,0,0
K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,3.9,0.0992,66.5,95,55.204865,9.046456,835,114.81,6046,4.486,0.972,1.053,3,0,0,0,0
K00756.02,CONFIRMED,4.13443512,3.1402,686,2.77,0.0514,40.2,240,33.546658,5.500643,1160,427.65,6046,4.486,0.972,1.053,3,0,0,0,0
K00756.03,CONFIRMED,2.56658897,2.429,226.5,1.59,0.0374,15,355,12.325094,4.3886313,1360,807.74,6046,4.486,0.972,1.053,3,0,0,0,0
K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,39.21,0.082,47.7,185,46.15308,10.964684,1342,767.22,6227,3.986,1.958,1.358,1,0,1,1,0
K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,5.76,0.1158,161.9,69,137.44981,20.457163,600,30.75,5031,4.485,0.848,0.801,3,0,0,0,0
K00001.01,CONFIRMED,2.470613377,1.74319,14230.9,13.04,0.0354,4304.3,432,6468.04,544.1701,1339,761.46,5820,4.457,0.964,0.971,1,0,0,0,0
K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,16.1,0.0376,5945.9,611,3862.1846,232.27,2048,4148.92,6440,4.019,1.952,1.449,1,0,1,0,0
K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,14.59,0.0473,1741.5,384,1725.5824,130.83832,1521,1264.67,6225,4.169,1.451,1.132,1,0,0,0,0
K00112.02,CONFIRMED,3.709214104,2.6302,131.1,1.16,0.0465,50.6,352,41.28873,4.8657312,1206,500.46,5833,4.407,1.022,0.974,2,0,0,0,0
K00742.01,FALSE POSITIVE,11.52144606,3.6399,17984.3,150.51,0.0978,622.1,96,628.3708,92.901566,753,75.88,5795,4.554,0.848,0.938,1,0,1,0,0
K00743.01,FALSE POSITIVE,19.40393776,12.2155,8918.7,7.18,0.123,214.7,71,320.90817,49.468765,523,17.69,5043,4.591,0.68,0.657,1,0,1,0,0
K00744.01,FALSE POSITIVE,19.22138894,4.79843,74284,49.29,0.1417,2317,55,2174.4263,387.658,698,55.97,6117,4.496,0.947,1.025,2,0,1,0,0
K00745.01,FALSE POSITIVE,16.46983774,9.4378,10478.9,7.94,0.1147,303.4,66,258.8247,43.1625,595,29.61,5152,4.517,0.786,0.741,1,0,1,0,0
K00746.01,CONFIRMED,9.27358173,3.2875,1288.3,2.47,0.0759,87.2,144,71.48005,9.616924,649,41.85,4856,4.583,0.696,0.676,1,0,0,0,0
K00747.01,CONFIRMED,6.02930329,1.5821,1912.7,2.85,0.0585,65.4,215,52.36939,6.876831,678,50.04,4537,4.648,0.672,0.761,1,0,0,0,0
K00748.01,FALSE POSITIVE,2.696370652,3.6129,397.9,1.58,0.0349,48.2,501,34.570904,5.508401,1066,305.34,4989,4.504,0.819,0.781,1,0,1,1,1
K00749.01,CONFIRMED,5.349553819,3.0278,831,2.55,0.0563,60.6,247,48.504196,6.0370364,919,168.99,5185,4.44,0.91,0.831,3,0,0,0,0
K00749.02,CONFIRMED,3.94105221,2.5984,363.3,1.7,0.046,28.9,322,22.749151,4.5118856,1018,253.15,5185,4.44,0.91,0.831,3,0,0,0,0
K00749.03,CONFIRMED,8.10904807,3.596,217.4,1.3,0.0743,14.1,141,9.776852,4.434382,800,97.03,5185,4.44,0.91,0.831,3,0,0,0,0
K00113.01,FALSE POSITIVE,386.6030528,6.8057,24926.6,41.5,1.0719,994,,,,297,1.84,5543,4.081,1.58,1.103,1,0,1,0,0
K00750.01,CONFIRMED,21.67699193,3.4555,857.2,2.95,0.1408,34.3,62,24.54073,5.911944,530,18.64,4954,4.5,0.828,0.791,4,0,0,0,0
K00751.01,CONFIRMED,4.99677968,2.1717,934.7,2.78,0.0559,28.2,208,24.283327,4.132564,917,166.95,5339,4.552,0.847,0.931,1,0,0,0,0
K00769.01,CONFIRMED,4.280963604,2.875,750.8,2.3,0.0503,61.8,311,52.913242,6.7006826,1012,247.87,5644,4.564,0.831,0.928,1,0,0,0,0
K00770.01,FALSE POSITIVE,1.50635409,1.5155,2211.7,4.53,0.025,181.1,882,130.6654,9.787732,1452,1054.12,5714,4.563,0.831,0.926,1,0,0,1,0
K00771.01,FALSE POSITIVE,670.645531,53.412,18090.6,14.14,1.5155,642.7,3,96.96236,70.64302,196,0.35,5520,4.466,0.983,1.03,1,0,1,1,0
K00772.01,FALSE POSITIVE,61.2563628,7.633,5123.3,39.87,0.3137,85.3,13,73.10389,31.079844,505,15.43,6144,4.402,1.091,1.093,1,0,1,0,0
K00773.01,CONFIRMED,38.3775486,5.588,724.2,2.82,0.2163,34.7,37,31.946487,10.352898,529,18.53,5481,4.369,1.036,0.915,1,0,0,0,0
K00757.02,CONFIRMED,41.19725502,4.6297,2213.9,3.86,0.217,51.2,26,37.877567,11.918161,439,8.76,5031,4.485,0.848,0.801,3,0,0,0,0
K00757.03,CONFIRMED,6.252962249,2.5819,1036.9,2.65,0.0617,47.1,167,35.96252,5.834264,823,108.3,5031,4.485,0.848,0.801,3,0,0,0,0
K00758.01,CONFIRMED,16.01308419,3.2554,1121.9,3.1,0.1148,33.2,65,31.066507,8.468995,593,29.31,5015,4.499,0.826,0.785,1,0,0,0,0
K00759.01,CONFIRMED,32.62876672,4.7971,1804.8,3.36,0.1889,80,34,61.372303,14.0889,506,15.55,5586,4.56,0.798,0.844,2,0,0,0,0
K00759.02,CONFIRMED,91.7732862,6.473,652,2.12,0.3764,19.1,11,14.678595,6.9461374,359,3.92,5586,4.56,0.798,0.844,2,0,0,0,0
K00760.01,CONFIRMED,4.959319244,2.22739,9802,12.21,0.0565,696.5,269,670.4895,58.764744,1103,349.4,5712,4.359,1.082,0.976,1,0,0,0,0
K00761.01,FALSE POSITIVE,2.701287801,3.3827,860.4,6.54,0.0365,48.3,387,39.745068,5.044661,1222,527.81,5550,4.468,0.91,0.889,1,0,1,1,0
K00762.01,CONFIRMED,4.49876511,3.7362,460,2.1,0.0542,29.5,238,26.501581,4.435833,1133,389.62,6075,4.486,0.969,1.048,1,0,0,0,0
K00763.01,FALSE POSITIVE,19.65120951,5.2514,11766.3,12.42,0.1433,513.4,59,509.4985,85.46643,730,67.03,6074,4.391,1.063,1.014,1,0,1,0,0
K00115.01,CONFIRMED,5.412203927,2.9472,601.6,2.94,0.0591,166.7,244,163.47614,46.475086,1093,337.68,5779,4.339,1.087,0.941,3,0,0,0,0
K00764.01,CONFIRMED,41.43958662,10.5989,2793.1,5.5,0.2288,141.1,33,124.52492,27.788597,516,16.72,5468,4.367,1.046,0.93,1,0,0,0,0
K00765.01,CONFIRMED,8.35389523,2.2514,1041.6,2.52,0.0768,43.4,127,36.34974,5.6967807,790,91.9,5592,4.582,0.787,0.862,1,0,0,0,0
K00766.01,CONFIRMED,4.125543472,3.1744,1487.3,4.43,0.0529,128.6,323,94.70979,9.387555,1243,565.35,6174,4.417,1.103,1.162,1,0,0,0,0
K00767.01,CONFIRMED,2.816504904,2.50587,16813.7,12.21,0.0383,1406.8,474,1328.3038,104.64681,1219,521.13,5532,4.452,0.955,0.941,1,0,0,0,0
K00768.01,FALSE POSITIVE,33.93373447,14.561,8503.7,7.34,0.1881,236.1,31,193.4089,52.86124,430,8.11,5040,4.628,0.705,0.782,1,0,1,1,0
K00786.01,CONFIRMED,3.689920099,2.6557,426.7,1.89,0.0469,35.6,360,31.786789,4.8750124,1147,408.99,5880,4.518,0.917,1.01,1,0,0,0,0
K00787.01,CONFIRMED,4.431238488,3.15,1010.9,3.25,0.0529,71.1,302,58.259056,6.815371,1104,351.23,5714,4.428,1.015,1.007,3,0,0,0,0
K00787.02,CONFIRMED,11.37936986,2.6255,1023.5,3.95,0.0993,37.9,109,29.930164,5.2506146,806,99.68,5714,4.428,1.015,1.007,3,0,0,0,0
K00788.01,CONFIRMED,26.39432897,3.573,1510.9,3.07,0.1635,48.2,51,41.269753,8.917681,489,13.49,5129,4.595,0.763,0.846,1,0,0,0,0
K00116.01,CONFIRMED,13.57078281,3.3539,511.7,2.64,0.1096,88.4,101,76.76887,18.771214,785,89.61,5854,4.406,1.012,0.951,4,0,0,0,0
K00115.02,CONFIRMED,7.12594387,3.0014,192.4,1.79,0.0711,47.1,181,39.793564,6.1814723,997,233.31,5779,4.339,1.087,0.941,3,0,0,0,0
K00774.01,FALSE POSITIVE,7.442652004,2.3078,24446.2,15.03,0.0742,835.6,180,1044.7283,115.64278,967,206.78,6108,4.469,0.956,0.981,1,0,1,0,0
K00775.01,CONFIRMED,16.38489988,3.0249,1127.1,2,0.1084,28.9,65,28.122635,6.419572,433,8.35,4126,4.661,0.615,0.633,3,0,0,0,0
K00775.02,CONFIRMED,7.8774163,2.0805,1306.1,2.16,0.0665,38.7,135,41.450657,10.036489,553,22.18,4126,4.661,0.615,0.633,3,0,0,0,0
K00775.03,CONFIRMED,36.4454001,4.007,1122.3,1.99,0.1847,21.7,27,19.803268,5.9903665,332,2.88,4126,4.661,0.615,0.633,3,0,0,0,0
K00776.01,CONFIRMED,3.728732147,2.683,5226.5,6.02,0.0455,345.2,357,360.1958,28.264866,1023,258.34,5497,4.577,0.809,0.907,1,0,0,0,0
K00777.01,CANDIDATE,40.4195037,3.362,6256,7.51,0.2062,36.9,36,94.071846,22.598503,467,11.29,5446,4.507,0.781,0.714,1,0,0,0,0
K00778.01,CONFIRMED,2.243380573,1.1196,821.7,1.99,0.028,38.9,472,30.578562,4.251499,822,107.6,4149,4.698,0.564,0.578,1,0,0,0,0
K00779.01,FALSE POSITIVE,10.40599802,6.5036,14488.8,11.23,0.0855,745.2,117,691.1691,97.352005,833,113.94,5746,4.393,0.924,0.77,1,0,1,0,0
K00780.01,CONFIRMED,2.337437946,1.9982,971.2,2.34,0.0325,82.4,578,63.58795,6.0310416,1070,311.16,5005,4.595,0.765,0.85,2,0,0,0,0
K00780.02,CANDIDATE,7.2406612,0.558,556.4,19.45,0.0692,13.7,168,9.1666,3.2751372,734,68.63,5005,4.595,0.765,0.85,2,0,0,0,0
K00115.03,CANDIDATE,3.43591631,3.133,23.2,0.55,0.0437,8.7,357,7.4337807,3.8943021,1272,617.61,5779,4.339,1.087,0.941,3,0,0,0,0
K00781.01,CONFIRMED,11.59822233,2.5237,2804.5,2.65,0.0798,71,115,62.376225,11.461336,396,5.82,3688,4.79,0.473,0.503,1,0,0,0,0
K00782.01,CONFIRMED,6.575315881,4.3084,2793.3,5.31,0.067,221.1,205,210.22159,20.537346,1015,251.38,5992,4.415,0.989,0.927,1,0,0,0,0
K00783.01,CONFIRMED,7.275040844,7.5377,3001,4.86,0.0732,312.1,188,234.95987,24.639503,833,113.64,5485,4.556,0.867,0.986,1,0,0,0,0
K00784.01,CONFIRMED,19.27153892,2.7594,1219.8,1.93,0.1171,37.1,67,28.490973,6.437265,393,5.66,4077,4.702,0.56,0.576,2,0,0,0,0
K00784.02,CONFIRMED,10.06524317,1.369,1053.3,1.91,0.076,30.3,126,21.658537,5.446764,488,13.43,4077,4.702,0.56,0.576,2,0,0,0,0
K00785.01,CONFIRMED,12.3935651,3.8896,916.6,2.66,0.0983,35.8,107,31.608551,5.6057496,677,49.68,5557,4.603,0.75,0.832,1,0,0,0,0
K00116.02,CONFIRMED,43.84439721,6.802,615.2,2.87,0.2395,83.7,29,65.59482,16.554466,531,18.77,5854,4.406,1.012,0.951,4,0,0,0,0
K00798.01,FALSE POSITIVE,3.341913228,3.813,725.3,21.55,0.0415,39,780,32.72262,5.0937037,1032,268.67,5295,4.551,0.811,0.853,1,0,1,1,0
K00799.01,FALSE POSITIVE,1.626630225,2.1145,1620.6,32.43,0.026,103.6,664,45.885685,5.3061833,1547,1355.88,5735,4.41,0.973,0.889,1,0,0,1,0
K00800.01,CONFIRMED,2.711504086,3.0099,837.5,3.12,0.0401,64.5,494,48.726124,6.3430967,1420,960.79,6214,4.442,1.076,1.169,2,0,0,0,0
K00800.02,CONFIRMED,7.21203748,4.0491,950.4,3.32,0.077,51.5,165,40.04205,6.1683164,1025,260.58,6214,4.442,1.076,1.169,2,0,0,0,0
K00789.01,FALSE POSITIVE,14.1798187,2.505,459.9,1.88,0.1137,11.2,,,,711,60.35,5799,4.539,0.878,0.975,1,0,0,0,1
K00790.01,CONFIRMED,8.47237911,2.7245,1123.5,2.59,0.0778,47.6,159,39.867977,5.7419868,751,75.44,5354,4.587,0.788,0.884,2,0,0,0,0
K00790.02,CONFIRMED,60.4189369,5.039,931.3,2.36,0.2884,20.1,22,15.139797,6.335456,390,5.49,5354,4.587,0.788,0.884,2,0,0,0,0
K00791.01,CONFIRMED,12.61190435,5.1497,6105.6,7.4,0.1058,277.2,104,207.6196,31.536423,753,76.15,5795,4.508,0.919,0.992,1,0,0,0,0
K00792.01,FALSE POSITIVE,1.433769925,1.8868,1976.3,46.58,0.0256,112.6,481,67.78838,10.709492,1920,3209.29,6017,4.22,1.339,1.083,1,0,1,0,0
K00793.01,FALSE POSITIVE,10.31872301,3.836,871.7,28.59,0.0944,38.2,130,34.775192,9.854863,876,139.26,5927,4.409,1.06,1.05,1,0,1,1,0
K00794.01,CONFIRMED,2.539183147,2.4282,382.1,2.06,0.0355,38.9,528,34.037075,4.680462,1332,743.09,5519,4.35,1.062,0.921,1,0,0,0,0
K00795.01,CONFIRMED,6.770300385,2.0844,1304,2.77,0.064,50.8,200,43.840405,6.5691905,812,102.87,5653,4.656,0.679,0.767,1,0,0,0,0
K00796.01,FALSE POSITIVE,0.444291966,2.0792,10967.4,27.51,0.0101,299.7,1466,277.1132,40.64358,1836,2706.26,5255,4.678,0.636,0.709,1,0,1,1,1
K00797.01,CANDIDATE,10.181584,3.5089,5741.1,7.73,0.0884,183.6,129,173.09894,27.099031,812,102.91,5988,4.541,0.836,0.885,1,0,0,0,0
K00812.02,CONFIRMED,20.06036336,3.3203,1494.7,1.96,0.115,35.2,59,27.241827,7.1802754,361,4,3950,4.754,0.493,0.502,4,0,0,0,0
K00812.03,CONFIRMED,46.1842039,4.758,1394.7,1.83,0.2005,26,25,18.020908,6.2605453,273,1.32,3950,4.754,0.493,0.502,4,0,0,0,0
K00116.04,CONFIRMED,23.9800854,5.351,104,1.31,0.1602,17.1,56,10.87813,4.1784496,649,41.94,5854,4.406,1.012,0.951,4,0,0,0,0
K00812.04,CONFIRMED,7.82502168,2.186,520.8,1.2,0.0614,15.9,154,12.582854,3.8379083,494,14.05,3950,4.754,0.493,0.502,4,0,0,0,0
K00813.01,CONFIRMED,3.895936525,2.3111,8544.8,7.34,0.046,370.8,275,375.5263,35.58241,1005,241.62,5557,4.592,0.774,0.866,1,0,0,0,0
K00814.01,CONFIRMED,22.36646466,5.228,986.8,2.32,0.1449,32.1,48,25.599396,6.2514634,536,19.45,5395,4.615,0.734,0.821,1,0,0,0,0
K00801.01,CONFIRMED,1.625522174,2.38963,7969,9.73,0.0265,799.7,657,712.5235,43.135384,1579,1467.41,5539,4.322,1.106,0.935,1,0,0,0,0
K00802.01,CANDIDATE,19.62034692,2.0038,21724.6,13.6,0.1389,340.5,52,353.8584,73.60154,643,40.39,5710,4.492,0.905,0.928,1,0,0,0,0
K00803.01,FALSE POSITIVE,7.544039,6.222,322.6,17.47,0.0731,14.2,143,12.162734,4.5001316,838,116.46,5657,4.567,0.824,0.919,1,1,0,1,0
K00804.01,CONFIRMED,9.02930689,3.1449,1019.8,2.57,0.0796,53.9,146,47.37303,7.610865,757,77.75,5349,4.526,0.82,0.824,1,0,0,0,0
K00805.01,FALSE POSITIVE,10.32803571,7.7915,16917.7,13.28,0.0888,636.8,114,589.42316,76.945915,843,119.31,5627,4.359,1.024,0.874,1,0,1,0,0
K00806.01,CONFIRMED,143.2063047,8.9302,10565.7,8.9,0.5336,138.8,9,115.57215,45.13809,308,2.14,5485,4.556,0.867,0.986,5,0,0,0,0
K00116.03,CONFIRMED,6.164876,3.262,55.8,0.79,0.0648,14.4,207,11.552998,2.6950479,1021,256.35,5854,4.406,1.012,0.951,4,0,0,0,0
K00806.02,CONFIRMED,60.32494216,6.6188,20280.4,12.19,0.2998,347.2,22,323.38303,88.82677,411,6.77,5485,4.556,0.867,0.986,5,0,0,0,0
K00806.03,CONFIRMED,29.1598615,4.803,488,1.91,0.1847,11.6,,,,524,17.85,5485,4.556,0.867,0.986,5,0,0,0,0
K00807.01,FALSE POSITIVE,1.540397253,2.1541,816.1,25.69,0.0264,38.8,842,32.004185,7.5703845,1470,1105.68,5663,4.53,0.915,1.034,1,0,0,1,1
K00808.01,FALSE POSITIVE,2.99025443,5.414,589.2,1.7,0.0367,48.5,454,35.481506,4.439786,918,168.45,4667,4.578,0.731,0.737,1,0,0,1,1
K00809.01,CONFIRMED,1.594745374,1.9604,15044.5,11.3,0.0258,1009.3,762,1015.921,62.03516,1539,1329.42,5934,4.491,0.893,0.901,1,0,0,0,0
K00810.01,CONFIRMED,4.783002698,2.335,1008.7,2.5,0.0535,70.6,281,57.638233,7.252221,886,145.48,5170,4.574,0.807,0.891,1,0,0,0,0
K00811.01,CONFIRMED,20.50588921,4.0595,2105.5,3.41,0.1326,78.5,69,70.729904,12.827003,518,17.06,4905,4.544,0.761,0.739,1,0,0,0,0
K00812.01,CONFIRMED,3.340218842,1.9104,1632.6,2.03,0.0348,71.6,398,58.181076,8.777286,656,43.73,3950,4.754,0.493,0.502,4,0,0,0,0
K00828.01,FALSE POSITIVE,2.507089906,2.0067,1339.2,30.26,0.0365,64.9,408,50.679256,7.337525,1326,730.47,5926,4.506,0.939,1.03,1,0,1,1,0
K00829.01,CONFIRMED,18.64932728,4.4056,893.6,3.12,0.139,46.1,71,36.000114,7.871079,701,57.13,5775,4.405,1.053,1.026,3,0,0,0,0
K00117.02,CONFIRMED,4.90144976,4.1654,140.7,1.7,0.0586,50.6,193,33.185894,5.743281,1262,598.74,5847,4.191,1.402,1.113,4,0,0,0,0
K00829.02,CONFIRMED,9.75192101,4.793,418,2.76,0.0902,28.5,132,24.258644,4.4869766,870,135.66,5775,4.405,1.053,1.026,3,0,0,0,0
K00829.03,CONFIRMED,38.5576546,5.794,993,4.02,0.2255,39.7,37,32.640865,7.5526104,550,21.71,5775,4.405,1.053,1.026,3,0,0,0,0
K00830.01,CONFIRMED,3.525632539,2.59959,22335,11.58,0.0431,1996.7,382,2078.4102,162.61552,975,213.12,5150,4.572,0.793,0.855,1,0,0,0,0
K00815.01,CANDIDATE,34.84398644,2.9315,4523.6,7.61,0.1971,76.8,40,75.6448,15.928789,511,16.1,5509,4.482,0.871,0.84,1,0,0,0,0
K00816.01,CONFIRMED,7.748094239,3.5957,2472.1,5.52,0.081,113.2,133,106.29421,13.618479,964,204.39,5973,4.439,1.085,1.181,1,0,0,0,0
K00817.01,CONFIRMED,23.96793669,3.827,1182.3,1.8,0.1322,27.5,43,22.27284,5.809559,329,2.77,3747,4.728,0.524,0.536,2,0,0,0,0
K00817.02,CONFIRMED,8.29561738,1.3421,824.3,1.82,0.0652,17.9,119,15.260293,3.484774,469,11.39,3747,4.728,0.524,0.536,2,0,0,0,0
K00818.01,CONFIRMED,8.11437482,2.2736,1558,2.1,0.0649,56.4,167,45.585175,6.7459397,460,10.55,3692,4.753,0.517,0.553,1,0,0,0,0
K00819.01,FALSE POSITIVE,38.03672948,4.34617,82871.6,27.5,0.2252,1300,26,1785.2972,456.11786,500,14.81,5575,4.521,0.932,1.051,1,0,1,0,0
K00820.01,CANDIDATE,4.64090031,35.512,2450.6,30.09,0.0503,296.9,227,135.01852,14.098484,1155,421.08,6463,4.5,0.826,0.786,1,0,0,0,0
K00011.01,FALSE POSITIVE,3.747838198,5.0642,616,13.65,0.046,138.2,358,98.60031,14.434505,1031,266.76,5514,4.569,0.826,0.926,1,0,1,1,1
K00117.01,CONFIRMED,14.74914825,6.0995,430.2,2.89,0.1221,107.4,72,66.187065,11.163704,874,137.91,5847,4.191,1.402,1.113,4,0,0,0,0
K00821.01,CONFIRMED,21.81295996,4.3791,1175.4,3.38,0.1495,37.8,45,31.21894,6.4162097,639,39.33,5601,4.41,0.999,0.934,1,0,0,0,0
K00822.01,FALSE POSITIVE,7.91936937,3.3148,15148.1,10.34,0.0737,389,132,385.42834,47.533234,814,104,5690,4.588,0.776,0.852,1,0,1,0,0
K00823.01,CANDIDATE,1.028436523,1.8606,8098,72.77,0.0197,89.6,,,,1947,3400.48,6228,4.428,0.99,0.959,1,0,0,0,0
K00824.01,CONFIRMED,15.37562369,3.3169,15337,11.01,0.1121,166,50,170.02856,33.115784,600,30.54,4986,4.496,0.833,0.793,1,0,0,0,0
K00825.01,CONFIRMED,8.10363271,3.161,887.9,2.11,0.0712,39.3,131,33.637074,7.0046763,687,52.82,4861,4.574,0.732,0.733,2,0,0,0,0
K00825.02,CONFIRMED,4.71510843,2.506,417.5,1.46,0.0496,21.3,208,16.489346,3.765065,823,108.84,4861,4.574,0.732,0.733,2,0,0,0,0
K00826.01,CONFIRMED,6.365839713,2.9721,780.7,2.44,0.0659,70.8,216,58.17086,7.331596,914,165.33,5776,4.554,0.849,0.939,1,0,0,0,0
K00827.01,FALSE POSITIVE,5.97581754,3.065,962.4,3.86,0.066,50.3,181,42.549767,7.281016,1047,284.25,6108,4.471,0.997,1.072,1,0,0,1,0
K00839.01,FALSE POSITIVE,2.446737317,4.7211,1177.9,26.25,0.0351,110.2,552,98.78201,25.09719,1261,597.19,5764,4.548,0.863,0.959,1,0,0,1,1
K00840.01,CONFIRMED,3.04033046,1.8411,10858.8,8.99,0.0374,568.2,440,653.36066,50.342957,1021,257.29,5035,4.519,0.791,0.754,1,0,0,0,0
K00841.01,CONFIRMED,15.33528675,3.897,3081.4,5,0.1179,86.6,85,84.09906,13.146613,610,32.67,5251,4.581,0.817,0.926,5,0,0,0,0
K00117.04,CONFIRMED,7.95825328,4.377,50,1.06,0.0809,14.7,109,10.168395,2.978392,1074,314.15,5847,4.191,1.402,1.113,4,0,0,0,0
K00841.02,CONFIRMED,31.33046135,5.176,5073.8,6.5,0.1898,117.2,46,110.02644,23.140947,481,12.61,5251,4.581,0.817,0.926,5,0,0,0,0
K00831.01,FALSE POSITIVE,3.9043425,3.831,16228.4,12.28,0.0484,323.4,275,1224.3164,110.279724,1104,351.05,5810,4.526,0.898,0.989,1,0,1,0,0
K00832.01,FALSE POSITIVE,9.286358079,3.49949,44791.4,17.61,0.081,1671.1,117,1748.3405,230.37978,796,95.03,5670,4.523,0.821,0.82,1,0,1,0,0
K00833.01,FALSE POSITIVE,3.951405455,2.1862,2453.9,31.44,0.0482,117.2,272,110.66481,13.511557,1133,388.71,6046,4.539,0.869,0.953,1,0,1,0,0
K00834.01,CONFIRMED,23.65369415,8.2183,3341.8,7.89,0.1658,266.3,57,188.42673,33.295635,731,67.65,5739,4.191,1.384,1.083,5,0,0,0,0
K00834.02,CONFIRMED,13.23352214,6.7372,504.6,3.06,0.1126,49.1,97,34.323593,6.205785,888,146.67,5739,4.191,1.384,1.083,5,0,0,0,0
K00834.03,CONFIRMED,6.15560285,4.9843,285,2.32,0.0676,35.1,203,26.274458,4.266375,1146,406.94,5739,4.191,1.384,1.083,5,0,0,0,0
K00834.04,CONFIRMED,2.090811305,3.388,115.9,1.62,0.0329,19.9,527,14.88052,3.535499,1642,1718.04,5739,4.191,1.384,1.083,5,0,0,0,0
K00117.03,CONFIRMED,3.180027898,3.5797,120.3,1.53,0.0439,50.4,323,34.970474,5.307951,1458,1066.86,5847,4.191,1.402,1.113,4,0,0,0,0
K00834.05,CONFIRMED,50.4467417,7.159,370.3,2.67,0.2747,19.4,22,15.157462,5.1075315,568,24.64,5739,4.191,1.384,1.083,5,0,0,0,0
K00835.01,CONFIRMED,11.76307164,2.9076,1037.3,2.35,0.0954,48.9,88,39.560696,9.07897,616,33.99,4959,4.603,0.756,0.849,2,0,0,0,0
K00835.02,CONFIRMED,56.2279271,3.57,862.7,2.37,0.2707,20.9,18,16.481398,6.9918575,366,4.22,4959,4.603,0.756,0.849,2,0,0,0,0
K00836.01,FALSE POSITIVE,2.384052875,3.0918,1268.1,17.06,0.0308,50.5,549,44.634888,7.4411964,1010,244.87,4794,4.58,0.701,0.683,1,0,1,1,1
K00837.01,CONFIRMED,7.953547,2.6312,875.4,2.25,0.0712,38.4,166,31.887648,5.371588,696,55.37,4768,4.536,0.779,0.759,2,0,0,0,0
K00837.02,CONFIRMED,4.14451656,2.3421,391.8,1.48,0.0461,22.8,316,18.548983,4.527273,864,132.08,4768,4.536,0.779,0.759,2,0,0,0,0
K00838.01,FALSE POSITIVE,4.859386384,2.2757,6044.3,38.33,0.0571,269.7,273,300.96277,30.702702,1114,364.23,6072,4.47,0.988,1.05,1,0,1,0,0
K00850.01,CONFIRMED,10.52629458,2.5211,9768,8.24,0.088,482.3,129,488.70584,58.01924,713,61.16,5386,4.553,0.793,0.82,1,0,0,0,0
K00851.01,CONFIRMED,4.583520948,2.7055,3812.1,5.39,0.0535,99.5,297,212.06973,18.698158,1038,274.98,5815,4.54,0.877,0.973,1,0,0,0,0
K00852.01,CONFIRMED,3.76181843,3.5176,510.6,2.66,0.047,35.9,273,29.971922,4.2820764,1121,372.62,5653,4.472,0.949,0.974,1,0,0,0,0
K00853.01,CONFIRMED,8.20396958,2.9667,1024.4,3.01,0.0735,54.4,162,44.777393,7.181467,742,71.5,5015,4.499,0.826,0.785,2,0,0,0,0
K00853.02,CONFIRMED,14.49645186,4.016,647.5,3.01,0.1074,25.7,89,20.855698,5.1306577,613,33.48,5015,4.499,0.826,0.785,2,0,0,0,0
K00841.03,CONFIRMED,6.54626149,2.75,655.9,2.19,0.0668,24.8,200,24.029488,4.6233773,810,101.78,5251,4.581,0.817,0.926,5,0,0,0,0
K00842.01,CONFIRMED,12.71809866,3.0957,1149.4,2.31,0.0934,52.7,107,42.002544,7.304412,562,23.6,4702,4.592,0.686,0.67,2,0,0,0,0
